FUND CODE,foreign_cash,foreign_global_equity,foreign_interest_rate_instruments,foreign_other_equity,local_cash,local_interest_rate_instruments,local_listed_equity,local_listed_property,local_other_equity,local_physical_property
RQ02,0.0277,0.7435,0.2229,0,0.0056,0,0,0.0003,0,0
RQ05,0.032,0,0.046,0.183,0.03,0.305,0.366,0.038,0,0
RQ07,0.078699989,0,0.067299978,0.211500004,0.064500003,0.442900019,0.135100006,0,0,0
RQ08,0.042,0,0.0005,0.385599992,0.101000001,0.154600002,0.316300004,0,0,0
RQ10,0.0065,0,0,0.9922,0.0013,0,0,0,0,0
RQ12,0.014308722,0,0.052593523,0.328203214,0.044859224,0.126565029,0.385491337,0.018087991,0.007431104,0.022459856
RQ14,-0.010300026,0,0.131299991,0.11640009,0.010399999,0.448799968,0.257899982,0.045499997,0,0
RQ15,-0.005300027,0,0.072200001,0.254600012,0.0181,0.219300004,0.410800008,0.030300001,0,0
RQ18,0.020425385,0,0.032570526,0.014496073,0.303297112,0.595579851,0.002954663,0.006854576,0.000633895,0.023187918
RQ26,0.0256,0,0,0.2943,0.0315,0.0151,0.633,0.0005,0,0
RQ36,0.0003,0,0,0,0.0044,0,0.9772,0.0181,0,0
RQ37,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
RQ38,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
RQ39,0,0,0,0.9686,0.0314,0,0,0,0,0
RQ58,0.014308722,0,0.052593523,0.328203214,0.044859224,0.126565029,0.385491337,0.018087991,0.007431104,0.022459856
RQ66,0.0001,0.9926,0,0,0.0073,0,0,0,0,0
RQ68,0.020425385,0,0.032570526,0.014496073,0.303297112,0.595579851,0.002954663,0.006854576,0.000633895,0.023187918
RQ69,0.026331068,0,0.083921999,0.206089366,0.09341608,0.355650332,0.188335173,0.012964126,0.010117584,0.023174272
RQ70,0.032,0,0.046,0.183,0.03,0.305,0.366,0.038,0,0
RR14,0.0026,0,0.0006,0.3403,0.0586,0.2119,0.3227,0.0098,0.0535,0
RR45,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455436
RR47,0,0,0,0,0.997175132,0.002824868,0,0,0,0
